epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.04,1.06318,3.43693,1.22368,0.57533,0.85,0.87734,0.63464,1.66715,1.06961,1.38576,0,0,0
2,15.8797,1.52346,2.50643,1.72807,0.58198,0.85,0.84748,0.63282,1.66221,1.05763,1.38276,1.17822e-06,1.17822e-06,1.17822e-06
3,23.8141,1.30808,2.24735,1.84981,0.57698,0.85,0.84867,0.63544,1.67437,1.05531,1.38373,2.33288e-06,2.33288e-06,2.33288e-06
4,31.9382,1.72245,2.98638,1.89424,0.57573,0.85,0.8505,0.6361,1.68056,1.04959,1.38069,3.46397e-06,3.46397e-06,3.46397e-06
5,40.1877,1.36515,3.15523,1.67422,0.61745,0.92224,0.90478,0.64242,1.6786,1.04632,1.37606,4.5715e-06,4.5715e-06,4.5715e-06
6,48.4484,1.53434,4.11948,1.91881,0.55886,0.85,0.85624,0.63746,1.6436,1.04274,1.35373,5.65548e-06,5.65548e-06,5.65548e-06
7,56.7518,1.11605,1.91803,1.31291,0.57147,0.85,0.85764,0.62948,1.65374,1.04281,1.35895,6.71588e-06,6.71588e-06,6.71588e-06
8,65.5275,0.96237,2.97245,1.3348,0.56229,0.85,0.85901,0.63049,1.65178,1.05259,1.35962,7.75273e-06,7.75273e-06,7.75273e-06
9,74.2265,1.12119,2.37022,1.39073,0.59085,0.86239,0.86007,0.62961,1.63162,1.04494,1.34821,8.76602e-06,8.76602e-06,8.76602e-06
10,83.0285,1.16782,2.38391,1.6169,0.5784,0.86667,0.89572,0.63373,1.62035,1.03941,1.3416,9.75574e-06,9.75574e-06,9.75574e-06
11,91.9321,1.11705,1.92478,1.34622,0.55157,0.86667,0.89537,0.64092,1.61741,1.04434,1.34049,1.07219e-05,1.07219e-05,1.07219e-05
12,101.007,0.96802,1.93792,1.32596,0.57762,0.86667,0.85517,0.63286,1.60688,1.05862,1.33465,1.16645e-05,1.16645e-05,1.16645e-05
13,110.217,1.03489,3.10242,1.39676,0.63302,0.94043,0.91253,0.65187,1.61575,1.07146,1.33709,1.25835e-05,1.25835e-05,1.25835e-05
14,119.535,1.02553,2.58041,1.43305,0.65078,0.93918,0.91269,0.65258,1.61655,1.08356,1.33706,1.3479e-05,1.3479e-05,1.3479e-05
15,128.857,1.21273,2.34363,1.3962,0.63475,0.93699,0.91435,0.64731,1.61053,1.08456,1.33973,1.43509e-05,1.43509e-05,1.43509e-05
16,138.259,1.07011,1.85817,1.36894,0.64083,0.93751,0.91255,0.64273,1.59485,1.09319,1.33706,1.51993e-05,1.51993e-05,1.51993e-05
17,147.774,0.89802,1.57282,1.21864,0.65548,0.9385,0.91437,0.64316,1.59653,1.10292,1.33992,1.60241e-05,1.60241e-05,1.60241e-05
18,157.354,0.9919,1.77978,1.38104,0.65548,0.9385,0.91437,0.64316,1.59653,1.10292,1.33992,1.68253e-05,1.68253e-05,1.68253e-05
19,166.841,0.92554,1.39505,1.21286,0.86232,0.63214,0.87352,0.64062,1.62286,1.12565,1.35458,1.7603e-05,1.7603e-05,1.7603e-05
20,176.386,0.78659,1.66285,1.22994,0.86232,0.63214,0.87352,0.64062,1.62286,1.12565,1.35458,1.83571e-05,1.83571e-05,1.83571e-05
21,186.061,0.87681,1.88322,1.31194,0.86608,0.63181,0.8644,0.64213,1.61534,1.15468,1.35268,1.90876e-05,1.90876e-05,1.90876e-05
22,195.56,0.80911,1.59205,1.12665,0.86608,0.63181,0.8644,0.64213,1.61534,1.15468,1.35268,1.97946e-05,1.97946e-05,1.97946e-05
23,205.247,1.10413,2.24393,1.38018,0.86376,0.64216,0.8808,0.63983,1.61728,1.17657,1.35399,2.0478e-05,2.0478e-05,2.0478e-05
24,214.79,1.03052,2.37141,1.45144,0.86376,0.64216,0.8808,0.63983,1.61728,1.17657,1.35399,2.11379e-05,2.11379e-05,2.11379e-05
25,224.441,0.74111,1.73684,1.1355,0.85782,0.65,0.85536,0.62913,1.63582,1.22984,1.36234,2.17741e-05,2.17741e-05,2.17741e-05
26,234.156,0.87152,1.55134,1.15792,0.85782,0.65,0.85536,0.62913,1.63582,1.22984,1.36234,2.23869e-05,2.23869e-05,2.23869e-05
27,243.881,0.94575,1.59862,1.34829,0.83039,0.65,0.85574,0.63318,1.63049,1.26858,1.36086,2.2976e-05,2.2976e-05,2.2976e-05
28,253.627,1.10854,1.63575,1.49837,0.83039,0.65,0.85574,0.63318,1.63049,1.26858,1.36086,2.35417e-05,2.35417e-05,2.35417e-05
29,263.406,1.03761,1.33567,1.38379,0.7845,0.65,0.8526,0.60017,1.64174,1.32814,1.3706,2.40837e-05,2.40837e-05,2.40837e-05
30,273.173,1.31095,2.72086,1.69856,0.7845,0.65,0.8526,0.60017,1.64174,1.32814,1.3706,2.46022e-05,2.46022e-05,2.46022e-05
31,282.997,0.78133,1.38316,1.25923,0.77455,0.65,0.85679,0.61587,1.64397,1.37069,1.36964,2.50971e-05,2.50971e-05,2.50971e-05
32,292.754,0.80482,1.19423,1.12205,0.77455,0.65,0.85679,0.61587,1.64397,1.37069,1.36964,2.55685e-05,2.55685e-05,2.55685e-05
33,302.684,1.0229,2.76342,1.35974,0.75408,0.65,0.76338,0.52467,1.63921,1.4329,1.36202,2.60163e-05,2.60163e-05,2.60163e-05
34,312.388,0.94817,1.04968,1.36692,0.75408,0.65,0.76338,0.52467,1.63921,1.4329,1.36202,2.64405e-05,2.64405e-05,2.64405e-05
